"state","fok.res.mmbtu","fok.com.mmbtu"
"AL",34000,4636000
"AZ",4000,3941000
"AR",8000,4017000
"CA",898000,20072000
"CO",216000,6155000
"CT",53264000,7385000
"DE",2518000,1020000
"DC",51000,391000
"FL",86000,13553000
"GA",102000,6280000
"ID",404000,3039000
"IL",453000,6871000
"IN",1427000,5044000
"IA",875000,7124000
"KS",21000,1861000
"KY",649000,4870000
"LA",32000,3232000
"ME",31724000,9506000
"MD",10345000,8036000
"MA",76034000,10039000
"MI",3179000,8215000
"MN",3305000,4483000
"MS",8000,3147000
"MO",113000,3661000
"MT",368000,502000
"NE",74000,2463000
"NV",270000,2583000
"NH",25117000,6242000
"NJ",24118000,9537000
"NM",11000,1713000
"NY",108941000,49325000
"NC",4899000,7577000
"ND",825000,1338000
"OH",8588000,12420000
"OK",18000,4751000
"OR",1464000,2361000
"PA",67722000,20160000
"RI",11846000,1737000
"SC",555000,3303000
"SD",532000,887000
"TN",371000,5844000
"TX",8000,13837000
"UT",137000,2677000
"VT",11874000,3288000
"VA",9849000,10898000
"WA",3655000,4312000
"WV",1730000,2620000
"WI",4957000,3599000
"WY",107000,1040000
