"month","US","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
1,989076082,8268001,2906711,8784427,6876347,69745509,24459719,10162600,2608055,2178737,2551020,25469757,60146,5164260,88727794,30964820,14805249,14542888,11095900,7530694,586942,17443377,26369873,66783837,27443168,5175667,23988921,3707275,7848016,8835240,1699643,46203535,8526214,92123969,15773807,2479467,59913712,14929689,7572174,52223320,3920897,7046415,2755309,16169941,46879659,14324081,786046,19184500,13820099,5201592,30160108,2296955
2,839067810,3933341,2348805,7702836,5316699,76937104,21637005,8491993,2161108,2229550,2257549,15724031,52887,4868715,74524005,24348760,13076570,13392855,7835572,5077152,529907,15194124,21133023,53426240,25622196,3151443,20522230,4917454,8080304,8374812,1387506,39983609,6860792,76415493,10310891,2629832,49114394,13007091,8272149,41679104,3174257,4685166,2865231,10688359,39581253,12177491,705160,14950429,16280900,3813049,25423092,2194292
3,713987981,4120001,2203625,5846606,5925418,53619122,20368754,7467437,1794010,1712087,1747345,15148496,57035,3657499,63131523,21676411,10410443,9706320,7417661,4388584,438651,12216897,20158243,48386420,19374271,3248921,16072463,3455284,6423178,6557988,1171810,35731909,4785755,72763179,9853574,1829268,44822251,9777873,6162891,36732614,2885971,4006968,2182885,10356519,34561136,9552844,594201,12118382,10897833,3984154,20425789,2059482
4,340738497,1974448,1495354,2847602,2057408,31765384,10038160,3932304,714493,772565,1619794,7113820,52887,1960967,31602575,9049899,4824124,3380620,2348805,2526132,269620,3935415,10361704,25525755,10453997,1275510,5440102,1639497,2620499,3132777,632570,15387006,2729384,35626135,3194997,950929,19741369,3609797,3455284,14956651,1424838,1816824,1186328,3549651,17619667,4116890,397171,4615687,6434585,1405135,11941055,1214327
5,220262948,1186328,1018334,2161108,1339804,31783013,7981789,2362286,376431,409615,1238178,4774348,52887,1180106,19570264,4963082,2810270,1981707,1240252,1609424,173179,3036336,6613986,14012981,6693835,639829,3350547,1118923,1809565,2337398,388875,10188525,1852082,23101249,1413431,595238,10665545,2245105,1754604,8755391,891820,635681,761158,1667496,8205781,4881159,232288,1997262,3317363,678198,7310850,898042
6,133994918,884561,550647,1565870,643977,22110914,4103409,1387506,199104,302804,962336,4261033,45628,757010,10112824,2654720,1434171,1221586,944707,1252696,86071,1813713,3341214,7336775,3226107,520574,2011780,859673,934337,1873859,188734,6889828,1148996,12926205,1492243,242658,5576986,1566907,1344989,5031524,460428,592127,293471,1237141,6858718,2107184,132736,1880081,2508503,325618,3242699,547536
7,115896157,793305,428281,1252696,650199,22194911,1066036,1062925,190808,236436,846192,6944789,48739,599386,8178819,2250290,1142774,1211216,823378,1094035,50813,1631201,2799900,5759498,2316658,564128,1817861,540277,795379,1506761,155550,5081300,1042185,10588807,1011075,185623,5034635,1285880,997594,4159407,354654,550647,253028,1147959,6438733,2079185,85034,1529575,2050149,343247,2453542,270657
8,105664078,680272,472872,1128256,561017,19182426,2850713,967521,174216,282064,854488,4096150,45628,572424,7603284,2087481,1155218,1062925,794342,1292102,50813,1543056,2696200,5317736,2369545,572424,1729716,278953,729011,1358470,155550,4362659,1101294,10095195,1052555,192882,4465322,1159366,994483,4073336,373320,534055,221918,948855,5406918,1609424,83997,1540982,1770159,355691,2436950,219844
9,113905117,731085,853451,1213290,585905,19174130,3215737,1105442,184586,262361,921893,3949933,44591,895968,8159116,2505392,1124108,1295213,770491,1211216,66368,1601128,3009374,5883938,2778123,459391,1669570,460428,666791,1576240,193919,5185000,1005890,10655175,1058777,205326,5054338,1108553,1456985,4366807,438651,582794,228140,1188402,5231665,1986892,93330,1557574,2723162,307989,2703459,197030
10,240268752,1016260,1500539,1866600,955077,26508831,10829391,2047038,298656,255102,973743,5651650,46665,2922266,22026917,6945826,4420731,4047411,1902895,1558611,146217,2284511,5099966,19258127,8591545,863821,5701426,1377136,1656089,2516799,262361,9070639,2190144,18206609,1831342,622200,12637919,1684088,4481914,8401774,967521,782935,793305,1764974,7599136,3745644,145180,2343620,8389330,1129293,9337148,611830
11,610870775,2929525,2051186,3104778,4413472,45602075,18339345,6367180,1312842,1535797,1238178,15398413,43554,4323253,58618499,19642854,8482660,8350961,7159448,4265181,367098,10161563,15545667,45065946,17974321,3510245,14763769,3062261,5579060,4004894,649162,29274510,5220258,54576273,10312965,1599054,37700135,8926496,5897419,24600751,2487763,4207109,1766011,10630287,25193915,8508585,437614,9011530,11713952,3289364,19738258,1915339
12,780462792,5230628,2785382,6167039,5639206,63239371,23081546,8806204,2059482,2334287,2032520,19193833,47702,5040857,62076894,21001324,10338890,10449849,8247261,5459805,484279,14009870,22986142,47789108,23084657,4044300,17636259,3400323,6037414,7628172,1447652,40540478,7489214,74064614,13157456,2078148,46086354,11102122,7307739,40405668,3245810,5999045,2049112,12295709,33007710,13658327,599386,14131199,13389744,3897046,22026917,2150738
