"state","propane.res.mmbtu","propane.com.mmbtu"
"AL",6034000,2113000
"AZ",5545000,3457000
"AR",4095000,1090000
"CA",25947000,13283000
"CO",13185000,3584000
"CT",8413000,2886000
"DE",2608000,1048000
"DC",9000,3000
"FL",6349000,8194000
"GA",8750000,3663000
"ID",5317000,1504000
"IL",27805000,4287000
"IN",14382000,3855000
"IA",25162000,4238000
"KS",9375000,1328000
"KY",8194000,2751000
"LA",1933000,1401000
"ME",8124000,6668000
"MD",7303000,3469000
"MA",10349000,3043000
"MI",43330000,4358000
"MN",30922000,5532000
"MS",5878000,1647000
"MO",19709000,4309000
"MT",9538000,1666000
"NE",7815000,988000
"NV",2006000,1459000
"NH",10712000,5539000
"NJ",4808000,1106000
"NM",4804000,1866000
"NY",28275000,8449000
"NC",17644000,6886000
"ND",8217000,2171000
"OH",21522000,4758000
"OK",8375000,2371000
"OR",3296000,3792000
"PA",23752000,8019000
"RI",1621000,896000
"SC",3918000,2588000
"SD",5868000,826000
"TN",7306000,2183000
"TX",21603000,9704000
"UT",3054000,1631000
"VT",7063000,3056000
"VA",12726000,7026000
"WA",10895000,4749000
"WV",2892000,1573000
"WI",32568000,5247000
"WY",3513000,1895000
