base year,yr2019,sc1
year,2019,2040
pop,2503802,
pop_ann_grow_rate,,0.005
res_area_m2,122740712.5,
res_area_ann_grow_rate,,0.005
frac_hp_res_heat,0.004012938,0.8
frac_resist_res_heat,0.092754737,0
frac_ff_res_heat,0.875158446,0.17
ff2hp_res,,
resist2hp_res,,
frac_elec_res_cool,0.720438996,
frac_elec_dhw_res,0.352860699,
frac_ff_dhw_res,0.767283914,0.717283207
frac_elec_other_res,0.395486683,
frac_ff_other_res,0.775272529,
com_area_m2,52033883.39,
com_area_ann_grow_rate,,0.005
frac_hp_com_heat,0.006127503,
frac_resist_com_heat,0.09882239,
frac_ff_com_heat,0.846781082,
ff2hp_com,,0.5
resist2hp_com,,1
frac_elec_com_cool,0.725363618,
frac_elec_dhw_com,0.377105435,
frac_ff_dhw_com,0.558030695,0.508030304
frac_elec_cook_com,0.16890955,
frac_ff_cook_com,0.371560299,0.171560299
heat_hp_type,midperfhp,advperfhp
dhw_hp_type,,advperfhp
cook_eff,,high
cool_energy_intensity(relative),1,1
