bus_id,Pmax,bus_capacity,true_load
115166,0.0,172.0,148.95465849198538
115652,0.0,86.0,78.2522814426117
116752,2.5,86.0,106.74214168904868
117800,0.0,86.0,76.64691544173587
122275,0.0,86.0,142.7858655902911
122942,3.4,86.0,77.50086618407639
124421,1.7,86.0,124.41594501341714
124433,0.0,172.0,238.23260414244712
124438,0.0,86.0,92.74133487053916
124567,0.0,86.0,72.22682284609644
129137,0.0,86.0,161.98713138460997
129140,0.0,86.0,162.25799130650478
129913,121.2,86.0,438.6816808610066
130915,0.0,86.0,100.36778635269926
132307,0.0,86.0,103.07600592073861
134781,0.0,86.0,116.78635593386237
135477,5.0,86.0,82.58178977977904
135494,0.0,344.0,475.13989536955665
135496,0.0,86.0,390.4885481778974
140878,19.7,172.0,176.3544327827788
140971,0.0,86.0,165.54047991209322
144153,4.0,86.0,92.10046192974518
144196,0.0,86.0,74.652705610257
144512,0.0,172.0,204.37095484649788
150621,0.0,86.0,81.40167327306793
151355,0.0,86.0,72.58500888464133
151421,0.0,86.0,72.72336237135256
153971,0.0,86.0,124.26087793229331
161334,0.0,86.0,159.5318364869375
161764,0.0,86.0,81.76334724522245
161815,0.0,86.0,76.08614471593383
163667,10.899999999999999,86.0,98.8078613913322
167165,0.0,86.0,80.69248190679515
172525,121.0,86.0,367.443176295125
300208,0.0,86.0,75.69966371649723
300393,0.0,86.0,87.18495218912571
300951,0.0,86.0,79.30272727106646
301001,15.4,86.0,152.119305023963
301094,0.0,86.0,88.08038790001346
301226,0.0,86.0,174.4258691101819
301332,0.0,86.0,103.48762587608614
301653,6.300000000000001,86.0,104.12312013471782
302996,0.0,86.0,134.30062907212806
303776,0.0,86.0,79.13044905944628
304620,0.0,86.0,155.19388353349166
304844,0.0,86.0,83.80919150086676
305086,9.2,86.0,89.57523534499877
305825,0.0,86.0,93.49571209233953
306242,32.0,86.0,127.57676108190107
306803,0.0,86.0,81.6591712890421
307368,0.0,86.0,100.6105968280282
307407,0.0,86.0,106.98394886563797
309189,0.0,172.0,156.9149995341588
173642,0.0,86.0,95.93859123947891
